id_stasiun,nama,kota,provinsi,p3e,waktu,time_z,lat,lon,tipe_text,is_maintenance,t_pm25,a_pm25,c_pm25,t_pm10,a_pm10,t_so2,t_co,t_o3,t_no2,waktu_utc,pm25_ugm3,sumber_label,i,j,cell_id,diambil_utc
KOTA_PASURUAN,Kota Pasuruan Petamanan,Kota Pasuruan,Jawa Timur,Jawa,2026-08-02 21:00:00,WIB,-7.6555399894714355,112.90699768066406,KLH/BPLH,0,41.0,12.34,1.0,51.0,21.89,11.0,20.0,37.0,37.0,2026-08-02 14:00:00,12.34,ISPU-langsung,429,80,42900080,2026-08-02 17:05:51
BALIKPAPAN_BB,BALIKPAPAN BARU,BALIKPAPAN,Kalimantan Timur,Kalimanatan,2026-08-03 00:00:00,WITA,-1.2422900199890137,116.85800170898438,INTEGRASI,0,37.0,11.17,1.0,,,53.0,14.0,,133.0,2026-08-02 16:00:00,11.17,ISPU-langsung,523,234,52300234,2026-08-02 17:05:51
DKI1,DKI 1 Bundaran HI,Jakarta,DKI Jakarta,Jawa,2026-08-02 23:00:00,WIB,-6.194789886474609,106.822998046875,INTEGRASI,0,106.0,0.0,3.0,66.0,0.0,45.0,13.0,24.0,50.0,2026-08-02 16:00:00,60.292929292929294,ISPU-konversi,283,115,28300115,2026-08-02 17:05:51
DKI2,DKI 2 Kelapa Gading,Jakarta,DKI Jakarta,Jawa,2026-08-02 23:00:00,WIB,-6.15880012512207,106.90399932861328,INTEGRASI,0,91.0,0.0,2.0,0.0,0.0,14.0,8.0,25.0,19.0,2026-08-02 16:00:00,48.08979591836735,ISPU-konversi,285,116,28500116,2026-08-02 17:05:51
DKI3,DKI 3 Jagakarsa,Jakarta,DKI Jakarta,Jawa,2026-08-02 23:00:00,WIB,-6.3577799797058105,106.8030014038086,INTEGRASI,0,95.0,0.0,2.0,53.0,0.0,44.0,9.0,24.0,18.0,2026-08-02 16:00:00,51.33877551020408,ISPU-konversi,282,111,28200111,2026-08-02 17:05:51
DKI4,DKI 4 Lubang Buaya,Jakarta,DKI Jakarta,Jawa,2026-08-02 23:00:00,WIB,-6.290359973907471,106.90499877929688,INTEGRASI,0,121.0,0.0,3.0,79.0,0.0,23.0,5.0,21.0,15.0,2026-08-02 16:00:00,74.67171717171718,ISPU-konversi,285,113,28500113,2026-08-02 17:05:51
DKI5,DKI 5 Kebon Jeruk,Jakarta,DKI Jakarta,Jawa,2026-08-02 23:00:00,WIB,-6.207409858703613,106.75,INTEGRASI,0,95.0,0.0,2.0,57.0,0.0,39.0,6.0,46.0,8.0,2026-08-02 16:00:00,51.33877551020408,ISPU-konversi,281,115,28100115,2026-08-02 17:05:51
KABUPATEN_BADUNG,Kabupaten Badung Sempidi,Kabupaten Badung,Bali,BALI DAN NUSA TENGGARA,2026-08-03 00:00:00,WITA,-8.603890419006348,115.1780014038086,KLH/BPLH,0,45.0,13.64,1.0,51.0,22.32,9.0,4.0,75.0,18.0,2026-08-02 16:00:00,13.64,ISPU-langsung,483,57,48300057,2026-08-02 17:05:51
KABUPATEN_MANGGARAI_BARAT,Kabupaten Manggarai Barat Wae Kalamb,Kabupatan Manggarai Barat,Nusa Tenggara Timur,BALI DAN NUSA TENGGARA,2026-08-03 00:00:00,WITA,-8.495189666748047,119.8939971923828,KLH/BPLH,0,40.0,11.9,1.0,46.0,19.38,0.0,0.0,0.0,0.0,2026-08-02 16:00:00,11.9,ISPU-langsung,596,60,59600060,2026-08-02 17:05:51
KABUPATEN_MOROWALI,Kabupaten Morowali,Kabupaten Morowali,Sulawesi Tengah,Sulawesi_Maluku,2026-08-03 00:00:00,WITA,-2.481120109558105,121.93199920654295,KLH/BPLH,0,43.0,12.87,1.0,50.0,21.19,11.0,14.0,9.0,13.0,2026-08-02 16:00:00,12.87,ISPU-langsung,645,204,64500204,2026-08-02 17:05:51
